Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
,28.0646987,0.8891016,0.230204866666667,,35700
,28.0762853333333,0.8891057,0.230284,,59500
Tiny,28.226233,0.8917171,0.2269105,,119000
Light,29.1198420666667,0.9078016,0.1947149,,238000
,29.5520278666667,0.916138533333333,0.1756772,,476000
,29.6839344333333,0.919308766666667,0.168220766666667,,714000
,29.7774227666667,0.921257933333333,0.163915466666667,,952000
,29.8335592,0.922328866666667,0.161011833333333,,1190000
