Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
,23.5707463888889,0.598731166666667,0.450558222222222,,113100
,23.7491736111111,0.613477944444444,0.4222035,,188500
Tiny,23.9207421666667,0.6328995,0.382923166666667,,377000
Light,24.0268296666667,0.649493055555555,0.3433625,,754000
,24.059238,0.662101222222222,0.307301944444444,,1508000
,24.0576217222222,0.666779055555555,0.290483166666667,,2262000
,24.0292371666667,0.668893444444445,0.280886722222222,,3016000
,24.0213101666667,0.671053166666667,0.274060222222222,,3770000
