Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
,25.87904775,0.759352333333334,0.293635333333333,,152100
,26.645874875,0.800645291666667,0.235112625,,253500
Tiny,27.4296307916667,0.840060166666667,0.169213125,,507000
Light,28.0142725416667,0.864485166666667,0.124728458333333,,1014000
,28.318546,0.878244416666667,0.100558208333333,,2028000
,28.47973925,0.883363708333333,0.092513125,,3042000
,28.5510868333333,0.8855355,0.0889417916666667,,4056000
,28.549813125,0.886756458333333,0.0869799583333333,,5070000
