Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,32.50338745,0.928303719,0.197183773,7447196.4672,
HEMGS-lowrate,32.06850433,0.918864608,0.219952509,3852468.224,
