Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,26.76065254,0.77333653,0.254433572,23079262.6176,
HEMGS-lowrate,26.83481026,0.768339813,0.275923461,13377522.8928,
