Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,27.34413147,0.84871608,0.142259002,31191570.8416,
HEMGS-lowrate,27.32735634,0.835676491,0.17310448,19087648.3584,
