Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,29.78606796,0.915775299,0.187746152,10091495.424,
HEMGS-lowrate,29.56256676,0.907561958,0.203057766,6083628.2368,
