Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,23.26482582,0.64636445,0.35234502,30032789.504,
HEMGS-lowrare,23.25191689,0.634871244,0.385386825,17538062.7456,
