Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,21.11848831,0.566370308,0.382725537,26982691.6352,
HEMGS-lowrate,21.38053131,0.57601285,0.385612458,15784109.6704,
