Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,32.00621033,0.93118906,0.121568434,11775193.9072,
HEMGS-lowrate,31.50585175,0.923004806,0.135863855,7020006.6048,
