Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,25.28336334,0.755925536,0.24879463,36673316.4544,
HEMGS-lowrate,25.25536537,0.751764834,0.263061643,23199009.9968,
