Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,33.33193588,0.948720574,0.179509044,11727483.6992,
HEMGS-lowrate,32.53875732,0.942095757,0.191136345,6904558.3872,
