Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,26.4240799,0.950210929,0.043419953,2283169.3824,
HEMGS-lowrate,26.33442879,0.949800253,0.044704694,1683488.768,
