Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,35.30571747,0.97948575,0.021338431,1417884.4672,
HEMGS-lowrate,35.74531555,0.981151521,0.018607821,1865940.992,
