Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,37.60601044,0.98237288,0.026946751,902089.9328,
HEMGS-lowrate,37.21546936,0.98093915,0.030149316,680630.6816,
