Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,35.22154617,0.985343635,0.013840275,1603901.8496,
HEMGS-lowrate,34.71944046,0.982963741,0.017206563,1115265.4336,
