Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,31.64896774,0.905021369,0.117756337,2785332.4288,
HEMGS-lowrate,31.54930687,0.902453005,0.12339329,2007708.4672,
