Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,30.81142807,0.962890148,0.037565067,1924556.3904,
HEMGS-lowrate,30.76364326,0.962741375,0.038765419,1467272.3968,
