Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,35.6777153,0.98665309,0.01272146,1318584.32,
HEMGS-lowrate,35.7024498,0.986510634,0.013206508,1032008.4992,
