Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,36.99309158,0.992209196,0.007590758,917399.1424,
HEMGS-lowrate,36.57004166,0.991459966,0.008721889,677694.6688,
