Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,22.9168396,0.826961339,0.205098957,8819048.448,
HEMGS-lowrate,22.75288391,0.818762779,0.219016984,5633893.9904,
