Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,26.23481369,0.885105014,0.145949334,11453910.2208,
HEMGS-lowrate,26.082407,0.877734244,0.164029494,6434691.4816,
