Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,29.93667603,0.909033,0.248555124,8108428.4928,
HEMGS-lowrate,29.89328003,0.906858087,0.260687381,3600390.5536,
