Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HEMGS-highrate,30.81164169,0.912434757,0.257877886,5285137.6128,
HEMGS-lowrate,30.59244156,0.908614576,0.270519078,2385615.2576,
